#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
1.065000e+10	 17	     0	     5	9.998581639670840e-04	5.159999999999994e+05	1.025517540818361e+02
1.070000e+10	 17	     0	     6	3.062945107208763e-04	5.179999999999994e+05	4.875174710745686e+02
1.075000e+10	 17	     0	    14	2.229914537197698e-03	5.199999999999994e+05	8.654740495220976e+02
1.080000e+10	 17	     0	    12	9.939559082899948e-04	5.229999999999994e+05	2.359985576772954e+02
1.085000e+10	 17	     0	    16	1.997644894742490e-03	5.249999999999993e+05	6.064659771756577e+02
1.090000e+10	 17	     0	     9	5.213152245128164e-04	5.269999999999993e+05	9.727677956956218e+02
1.095000e+10	 17	     0	     3	2.110069091605823e-04	5.299999999999993e+05	3.476968811865854e+02
1.100000e+10	 17	     0	     3	3.070362265322872e-04	5.319999999999993e+05	7.356967370305753e+02
1.105000e+10	 17	     0	     1	3.853294139771309e-04	5.349999999999993e+05	1.385223153391495e+02
1.110000e+10	 17	     0	     3	6.200508669745910e-04	5.369999999999993e+05	5.564449561197729e+02
1.115000e+10	 17	     0	     6	2.820957465810675e-04	5.389999999999993e+05	9.851427554770006e+02
1.120000e+10	 17	     0	     2	4.370028128737700e-04	5.419999999999993e+05	4.200022561085769e+02
1.125000e+10	 17	     0	     1	4.506980698233155e-04	5.439999999999993e+05	8.471597120354473e+02
collision No.5	5.463352e+05[yr]	i=3, j=11	r_ij=5.112588624512568e-05	radius[3]+radius[11]=5.113061899342040e-05
dE_heat=-7.781361e-09	dE_grav=2.415788e-09	dE_c=-7.984558e-16	v_imp=3.001401e-01
1.130000e+10	 16	     0	    14	1.848021023770555e-03	5.469999999999993e+05	4.024501570517136e+02
1.135000e+10	 16	     0	    12	2.297710777177311e-03	5.499999999999993e+05	1.563418991001521e+02
1.140000e+10	 16	     0	     6	2.893265208072127e-04	5.519999999999993e+05	8.881784603745382e+02
